"YERAWADA - KALAS - DHANORI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"2C","19-20","10","Toilet repairs","199,584.00","Toilet","","",""
"2D","19-20","1","Buddha vihar repairs","144,776.46","Buildings","","",""
"2D","19-20","2","Convex mirrors-Roads","179,546.84","Traffic","","",""
"2D","19-20","3","Ganeshotsav works","164,962.29","Ganeshotsav","","",""
"2D","19-20","4","Dhakal gadi","161,769.19","Waste disposal","","",""
"2D","19-20","5","Samaj Mandir repairs","75,100.32","Buildings","","",""
"2D","19-20","6","Samaj Mandir repairs","100,000.00","Buildings","","",""
"2D","19-20","7","Convex mirrors-Roads","168,743.48","Traffic","","",""
"2D","19-20","8","Fencing and gate","90,294.03","Fencing","","",""
"2D","19-20","9","Dhakal gadi","74,146.58","Waste disposal","","",""
"2D","19-20","10","Convex mirrors-Roads","167,743.48","Traffic","","",""
"6A","19-20","1","Samaj Mandir repairs","145,463.05","Buildings","","",""
"6A","19-20","2","Samaj Mandir repairs","196,626.16","Buildings","","",""
"6A","19-20","3","Concretization work","85,271.11","Concretization","","",""
"6A","19-20","4","Concretization work","120,840.52","Concretization","","",""
"6A","19-20","5","Rada Roda cleaning work","146,726.00","Cleaning","","",""
"6A","19-20","6","Rada Roda cleaning work","135,789.00","Cleaning","","",""
"6A","19-20","7","Concretization work","80,409.63","Concretization","","",""
"6B","19-20","1","Drainage works","200,000.00","Drainage","","",""
"6B","19-20","2","Drainage works","198,818.81","Drainage","","",""
"6B","19-20","3","Samaj Mandir repairs","197,247.34","Buildings","","",""
"6B","19-20","4","Drainage works","199,511.35","Drainage","","",""
"6B","19-20","5","Drainage works","199,525.41","Drainage","","",""
"6B","19-20","6","Drainage works","199,048.83","Drainage","","",""
"6B","19-20","7","Drainage works","199,724.56","Drainage","","",""
"6B","19-20","8","Drainage works","195,821.90","Drainage","","",""
"6B","19-20","9","Concretization work","198,075.76","Concretization","","",""
"6B","19-20","10","Buddha vihar repairs","200,000.00","Buildings","","",""
"6C","19-20","1","Toilet repairs","191,563.52","Toilet","","",""
