"","","","","","","","","","","0","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23B","Hadapsar Gaothan- Satavwadi","Vaishali Bankar","NCP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23C","Hadapsar Gaothan- Satavwadi","Ujwala Jangale","BJP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23D","Hadapsar Gaothan- Satavwadi","Maruti Tupe","BJP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24A","Ramtekadi- Sayyad Nagar","Ashok Kamble","Independant","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24B","Ramtekadi- Sayyad Nagar","Ruksana Inamdar","Independant","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24C","Ramtekadi- Sayyad Nagar","Anand Alkunte","NCP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24D","Ramtekadi- Sayyad Nagar","","","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25A","Vanwadi","Dhanraj Ghogare","BJP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25B","Vanwadi","Kalinda Punde","BJP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25C","Vanwadi","Ratnaprabha Jagtap","NCP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25D","Vanwadi","Prashant Jagtap","NCP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26A","Mahammadwadi- Kausar Baug","Prachi Alhat","ShivSena","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26B","Mahammadwadi- Kausar Baug","Pramod Bhangire","ShivSena","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26C","Mahammadwadi- Kausar Baug","Nanda Lonkar","NCP","","","","","","","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26D","Mahammadwadi- Kausar Baug","Sanjay Ghule","BJP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27A","Kondhwa Khurd- Meetha Nagar","Haji Pathan","NCP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27B","Kondhwa Khurd- Meetha Nagar","Parvin Firoz","NCP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27C","Kondhwa Khurd- Meetha Nagar","Hamida Sundake","NCP","","","","","","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27D","Kondhwa Khurd- Meetha Nagar","Sainath Babar","MNS","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","28A","Salisbury Park- Maharshi Nagar","Kavita Vairage","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","28B","Salisbury Park- Maharshi Nagar","Shrinath Bhimale","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","28C","Salisbury Park- Maharshi Nagar","Rajshri Shilimkar","BJP","","","","","","","","","","","","","","","","","","","",""
"Bibvewadi","28D","Salisbury Park- Maharshi Nagar","Pravin Chorbele","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29A","Navi Peth- Parvati","Sarasvati Shendage","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29B","Navi Peth- Parvati","Mahesh Ladkat (Till Dec 2020)","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29C","Navi Peth- Parvati","Smita Vaste","BJP","","","","","","","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29D","Navi Peth- Parvati","Dhiraj Ghate","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","30A","Janata Vasahat- Dattawadi","Anand Rithe","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","30B","Janata Vasahat- Dattawadi","Priya Gadade","NCP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","30C","Janata Vasahat- Dattawadi","Anita Kadam","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","30D","Janata Vasahat- Dattawadi","Shankar Pawar","BJP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","31A","Karve Nagar","Sushil Mengade","BJP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","31B","Karve Nagar","Laxmi Dudhane","NCP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","31C","Karve Nagar","Vrushali Chaudhari","BJP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","31D","Karve Nagar","Rajabhau Barate","BJP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","32A","Warje-Malwadi","Dilip Barate","NCP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","32B","Warje-Malwadi","Sayali Wanjale","NCP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","32C","Warje-Malwadi","Dipali Dhumal","NCP","","","","","","","","","","","","","","","","","","","",""
"Warje-KarveNagar","32D","Warje-Malwadi","Sachin Dodke","NCP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","33A","Vadgaon Dhayari- Suncity","Haridas Charvad","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","33B","Vadgaon Dhayari- Suncity","Rajashri Navale","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","33C","Vadgaon Dhayari- Suncity","Neeta Dangat","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","33D","Vadgaon Dhayari- Suncity","Raju Laygude","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","34A","Vadgaon Budruk- Hingane Khurd","Prasanna Jagtap","BJP","","","","","","","","","","","","","","","","","","","",""
"SinhgadRd","34B","Vadgaon Budruk- Hingane Khurd","Jyoti Gosavi","BJP","","","","","","","","","","","","","","","","","","","",""
