"","","","","","","","","","","","","","134","102","103","126","465","0","","","","","","","","","","","","","",""
"Ward office","Ward","Ward Name","Name","Gender","Party","Served on any Municipal Committee?","17-18","18-19","19-20","20-21","Total","Total working days","17-18","18-19","19-20","20-21","Total","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","",""
"Warje-KarveNagar","13B","Erandwana- Happy Colony","Madhuri Sahastrabuddhe","F","BJP","City Development Committee, Law Committee, Women & child welfare","122","99","102","116","439","465","91%","97%","99%","92%","94%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","13C","Erandwana- Happy Colony","Manjushri Khardekar","F","BJP","Sports Committee, Education Committee, Law Committee, Women & child welfare","130","97","86","96","409","465","97%","95%","83%","76%","88%","No Issue","","","","","","","","","","","","","",""
"Warje-KarveNagar","13D","Erandwana- Happy Colony","Jayant Bhave","M","BJP","Sports Committee, Name Committee, Law Committee","130","102","95","106","433","465","97%","100%","92%","84%","93%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14A","Deccan Gymkhana- Model Colony","Swati Lokhande","F","BJP","","124","98","59","71","352","465","93%","96%","57%","56%","76%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14B","Deccan Gymkhana- Model Colony","Nilima Khade","F","BJP","Standing Committee","130","81","91","111","413","465","97%","79%","88%","88%","89%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14C","Deccan Gymkhana- Model Colony","Jyotsna Ekbote","F","BJP","Sports Committee, Women & child welfare","111","97","85","115","408","465","83%","95%","83%","91%","88%","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14D","Deccan Gymkhana- Model Colony","Siddharth Shirole","M","BJP","","92","77","35","20","224","465","69%","75%","34%","16%","48%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15A","Shanivar Peth- Sadashiv Peth","Hemant Rasane","M","BJP","Standing Committee","99","67","73","110","349","465","74%","66%","71%","87%","75%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15B","Shanivar Peth- Sadashiv Peth","Gayatri Khadke","F","BJP","Law Committee, Women & child welfare","134","97","101","108","440","465","100%","95%","98%","86%","95%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15C","Shanivar Peth- Sadashiv Peth","Mukta Tilak","F","BJP","","120","100","45","27","292","465","90%","98%","44%","21%","63%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","15D","Shanivar Peth- Sadashiv Peth","Rajesh Yenpure","M","BJP","City Development Committee, Name Committee","129","94","94","75","392","465","96%","92%","91%","60%","84%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16A","Kasba Peth- Somwar Peth","Pallavi Jawale","F","ShivSena","City Development Committee,Name Committee","116","98","93","106","413","465","87%","96%","90%","84%","89%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16B","Kasba Peth- Somwar Peth","Ravindra Dhangekar","M","Independant","","89","63","75","81","308","465","66%","62%","73%","64%","66%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16C","Kasba Peth- Somwar Peth","Sujata Shetti","F","Congress","Name Committee, Women & child welfare","128","89","98","95","410","465","96%","87%","95%","75%","88%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","16D","Kasba Peth- Somwar Peth","Yogesh Samel","M","BJP","Standing Committee, Sports Committee, Law Committee","116","84","75","65","340","465","87%","82%","73%","52%","73%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","17A","Rasta Peth- Ravivar Peth","Laxmi Andekar","F","NCP","City Development Committee, Sports Committee, Women & child welfare","122","87","36","69","314","465","91%","85%","35%","55%","68%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","17B","Rasta Peth- Ravivar Peth","Sulochana Kondhare","F","BJP","Standing Committee, Law Committee","120","96","78","87","381","465","90%","94%","76%","69%","82%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","17C","Rasta Peth- Ravivar Peth","Vanraj Andekar","M","NCP","Sports Committee, Law Committee","123","96","71","86","376","465","92%","94%","69%","68%","81%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","17D","Rasta Peth- Ravivar Peth","Vishal Dhanawade","M","ShivSena","Standing Committee, City Development Committee, Sports Committee, Name Committee","124","92","87","90","393","465","93%","90%","84%","71%","85%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","18A","Khadakmal Aali- Mahatma Phule Peth","Vijayalaxmi Harihar","F","BJP","","116","90","71","67","344","465","87%","88%","69%","53%","74%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","18B","Khadakmal Aali- Mahatma Phule Peth","Arti Kondhare","F","BJP","Name Committee, Law Committee, Women & child welfare","114","90","72","48","324","465","85%","88%","70%","38%","70%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","18C","Khadakmal Aali- Mahatma Phule Peth","Ajay Khedekar","M","BJP","City Development Committee, Sports Committee","126","100","86","107","419","465","94%","98%","83%","85%","90%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","18D","Khadakmal Aali- Mahatma Phule Peth","Samrat Thorat","M","BJP","Sports Committee, Name Committee","105","65","75","88","333","465","78%","64%","73%","70%","72%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","19A","Lohiya Nagar- Kasewadi","Avinash Bagave","M","Congress","Standing Committee, City Development Committee, Sports Committee, Education Committee","115","97","88","107","407","465","86%","95%","85%","85%","88%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","19B","Lohiya Nagar- Kasewadi","Manisha Ladkat","F","BJP","Law Committee, Women & child welfare","128","102","101","102","433","465","96%","100%","98%","81%","93%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","19C","Lohiya Nagar- Kasewadi","Archana Patil","F","BJP","Standing Committee, Sports Committee, Women & child welfare","100","83","49","71","303","465","75%","81%","48%","56%","65%","No Issue","","","","","","","","","","","","","",""
"BhavaniPeth","19D","Lohiya Nagar- Kasewadi","Rafique Sheikh","M","Congress","City Development Committee, Sports Committee, Name Committee, Law Committee","91","97","94","115","397","465","68%","95%","91%","91%","85%","No Issue","","","","","","","","","","","","","",""
"DholePatilRd","20A","Tadiwala Road- Sasoon Hospital","Pradip Gaikwad","M","NCP","Standing Committee, City Development Committee","113","77","75","73","338","465","84%","75%","73%","58%","73%","","","","","","","","","","","","","","",""
"DholePatilRd","20B","Tadiwala Road- Sasoon Hospital","Chandbi Nadaf","F","Congress","City Development Committee, Sports Committee, Women & child welfare","115","82","74","96","367","465","86%","80%","72%","76%","79%","No Issue","","","","","","","","","","","","","",""
"DholePatilRd","20C","Tadiwala Road- Sasoon Hospital","Latabai Rajguru","F","Congress","Standing Committee, City Development Committee, Name Committee","124","102","81","108","415","465","93%","100%","79%","86%","89%","No Issue","","","","","","","","","","","","","",""
"DholePatilRd","20D","Tadiwala Road- Sasoon Hospital","Arvind Shinde","M","Congress","","122","89","87","54","352","465","91%","87%","84%","43%","76%","No Issue","","","","","","","","","","","","","",""
"DholePatilRd","21A","Koregaon Park- Ghorpadi","Navnath Kamble (till 2017) / Himali Kamble (after 2017)","F","BJP","Standing Committee","49","86","47","74","256","386","37%","84%","46%","59%","66%","No Issue","","","","","","","","","","","","","",""
"DholePatilRd","21B","Koregaon Park- Ghorpadi","Lata Dhayarkar","F","BJP","Name Committee, Education Committee, Women & child welfare","128","101","61","63","353","465","96%","99%","59%","50%","76%","No Issue","","","","","","","","","","","","","",""
"DholePatilRd","21C","Koregaon Park- Ghorpadi","Mangala Mantri","F","BJP","Name Committee, Law Committee, Women & child welfare","104","93","76","95","368","465","78%","91%","74%","75%","79%","No Issue","","","","","","","","","","","","","",""
"DholePatilRd","21D","Koregaon Park- Ghorpadi","Umesh Gaikwad","M","BJP","Standing Committee","117","96","77","103","393","465","87%","94%","75%","82%","85%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22A","Mundhwa- Magarpatta City","Chetan Tupe","M","NCP","","128","89","56","47","320","465","96%","87%","54%","37%","69%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22B","Mundhwa- Magarpatta City","Hemlata Magar","F","NCP","City Development Committee, Sports Committee","120","97","80","113","410","465","90%","95%","78%","90%","88%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22C","Mundhwa- Magarpatta City","Chanchala Kodre (till 2017) / Pooja Kodre (after 2017)","F","NCP","Women & child welfare","61","102","59","88","310","427","46%","100%","57%","70%","73%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","22D","Mundhwa- Magarpatta City","Sunil Gaikwad","M","NCP","Standing Committee, Name Committee","82","64","81","69","296","465","61%","63%","79%","55%","64%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23A","Hadapsar Gaothan- Satavwadi","Yogesh Sasane","M","NCP","Law Committee","128","101","85","98","412","465","96%","99%","83%","78%","89%","Resolved","For 18-19 attendance in the RTI information PDF is 101, Also 19-20 attendance is 85.  20-21 attendance is 98","Corrected- Tanmay","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23B","Hadapsar Gaothan- Satavwadi","Vaishali Bankar","F","NCP","","109","94","76","103","382","465","81%","92%","74%","82%","82%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23C","Hadapsar Gaothan- Satavwadi","Ujwala Jangale","F","BJP","Standing Committee, City Development Committee, Name Committee","126","96","81","102","405","465","94%","94%","79%","81%","87%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","23D","Hadapsar Gaothan- Satavwadi","Maruti Tupe","M","BJP","Standing Committee, Education Committee","133","99","93","68","393","465","99%","97%","90%","54%","85%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24A","Ramtekadi- Sayyad Nagar","Ashok Kamble","M","Independant","Standing Committee, Sports Committee","130","97","90","88","405","465","97%","95%","87%","70%","87%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24B","Ramtekadi- Sayyad Nagar","Ruksana Inamdar","F","Independant","","45","","","","45","83","34%","0%","0%","0%","54%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24C","Ramtekadi- Sayyad Nagar","Anand Alkunte","M","NCP","Standing Committee","32","46","35","35","148","465","24%","45%","34%","28%","32%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","24D","Ramtekadi- Sayyad Nagar","","","","","","","","","0","465","0%","0%","0%","0%","0%","","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25A","Vanwadi","Dhanraj Ghogare","M","BJP","City Development Committee, Sports Committee, Name Committee","117","78","76","61","332","465","87%","76%","74%","48%","71%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25B","Vanwadi","Kalinda Punde","F","BJP","City Development Committee, Education Committee","126","85","67","86","364","465","94%","83%","65%","68%","78%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25C","Vanwadi","Ratnaprabha Jagtap","F","NCP","Sports Committee, Law Committee, Women & child welfare","128","101","95","113","437","465","96%","99%","92%","90%","94%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","25D","Vanwadi","Prashant Jagtap","M","NCP","","123","101","100","109","433","465","92%","99%","97%","87%","93%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26A","Mahammadwadi- Kausar Baug","Prachi Alhat","F","ShivSena","Sports Committee, Education Committee, Law Committee, Women & child welfare","118","55","67","63","303","465","88%","54%","65%","50%","65%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26B","Mahammadwadi- Kausar Baug","Pramod Bhangire","M","ShivSena","Standing Committee, Sports Committee, Name Committee","116","100","84","81","381","465","87%","98%","82%","64%","82%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26C","Mahammadwadi- Kausar Baug","Nanda Lonkar","F","NCP","Standing Committee, City Development Committee, Sports Committee, Name Committee","132","101","89","102","424","465","99%","99%","86%","81%","91%","No Issue","","","","","","","","","","","","","",""
"Hadapsar-Mundhwa","26D","Mahammadwadi- Kausar Baug","Sanjay Ghule","M","BJP","City Development Committee, Sports Committee, Name Committee","117","76","78","62","333","465","87%","75%","76%","49%","72%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27A","Kondhwa Khurd- Meetha Nagar","Haji Pathan","M","NCP","Sports Committee, Law Committee","107","98","75","86","366","465","80%","96%","73%","68%","79%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27B","Kondhwa Khurd- Meetha Nagar","Parvin Firoz","F","NCP","City Development Committee, Women & child welfare","118","88","82","85","373","465","88%","86%","80%","67%","80%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27C","Kondhwa Khurd- Meetha Nagar","Hamida Sundake","F","NCP","Name Committee, Women & child welfare","88","57","74","80","299","465","66%","56%","72%","63%","64%","No Issue","","","","","","","","","","","","","",""
"Wanawdi-RamTekdi","27D","Kondhwa Khurd- Meetha Nagar","Sainath Babar","M","MNS","","97","93","78","107","375","465","72%","91%","76%","85%","81%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","28A","Salisbury Park- Maharshi Nagar","Kavita Vairage","F","BJP","Standing Committee","109","83","68","94","354","465","81%","81%","66%","75%","76%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","28B","Salisbury Park- Maharshi Nagar","Shrinath Bhimale","M","BJP","","131","102","76","108","417","465","98%","100%","74%","86%","90%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","28C","Salisbury Park- Maharshi Nagar","Rajshri Shilimkar","F","BJP","Sports Committee, Law Committee","133","96","92","96","417","465","99%","94%","89%","76%","90%","No Issue","","","","","","","","","","","","","",""
"Bibvewadi","28D","Salisbury Park- Maharshi Nagar","Pravin Chorbele","M","BJP","Sports Committee","125","83","90","112","410","465","93%","81%","87%","89%","88%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29A","Navi Peth- Parvati","Sarasvati Shendage","F","BJP","","134","102","89","114","439","465","100%","100%","86%","90%","94%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29B","Navi Peth- Parvati","Mahesh Ladkat (Till Dec 2020)","M","BJP","City Development Committee, Name Committee","113","88","85","9","295","465","84%","86%","83%","7%","63%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29C","Navi Peth- Parvati","Smita Vaste","F","BJP","City Development Committee","127","102","89","96","414","465","95%","100%","86%","76%","89%","No Issue","","","","","","","","","","","","","",""
"Kasba-VishrambagWada","29D","Navi Peth- Parvati","Dhiraj Ghate","M","BJP","City Development Committee, Sports Committee","134","83","90","94","401","465","100%","81%","87%","75%","86%","No Issue","","","","","","","","","","","","","",""
