"HADAPSAR - MUNDHWA","","","","","","","",""
"","","","","","","4","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"22C","19-20","58","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","170,868.01","Buildings","No Issue","",""
"23C","19-20","59","Electrification/new street lights","98,155.29","Electrification","No Issue","",""
"26C","19-20","60","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","98,748.94","Nameplates","No Issue","",""
"23B","19-20","61","Electrification/new street lights","98,833.89","Electrification","No Issue","",""
"23A","19-20","62","Drainage works","146,967.34","Drainage","No Issue","",""
"23C","19-20","63","Electrification/new street lights","98,324.94","Electrification","No Issue","",""
"22B","19-20","64","Electrification/new street lights","98,649.82","Electrification","No Issue","",""
"26B","19-20","65","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","197,763.07","Nameplates","No Issue","",""
"23D","19-20","67","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","197,896.41","Nameplates","No Issue","",""
"23D","19-20","66","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","197,896.41","Nameplates","No Issue","",""
"26D","19-20","68","Electrification/new street lights","98,323.95","Electrification","No Issue","",""
"26D","19-20","69","Concretization","187,254.25","Concretization","No Issue","",""
"22A","18-19","1","Electrification/new street lights","124,930.03","Electrification","No Issue","",""
"22A","18-19","2","Electrification/new street lights","125,068.72","Electrification","No Issue","",""
"22A","18-19","3"," 'Murum' in school ground","76,678.52","Road","Open","Code - ??",""
"22A","18-19","4","Gym / gym equipments","142,117.78","Gym","No Issue","",""
"22A","18-19","5","Mainetnance and cleaning works","129,517.02","Cleaning","No Issue","",""
"22A","18-19","6","Drainage works","141,000.37","Drainage","No Issue","",""
"22B","18-19","7","Electrification/new street lights","135,927.81","Electrification","No Issue","",""
