"AUNDH - BANER","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"8D","19-20","5","Radaroda  (Cleanliness) work ","158,301.20","Cleaning","","",""
"8D","19-20","6","Work related to Visarjan Ghat","196,591.66","Ganeshotsav","","",""
"8D","19-20","7","putting water pipe line and related work ","199,563.90","Water supply","","",""
"8D","19-20","8","For garden, toys and gym related work ","187,734.21","Garden","","",""
"8D","19-20","9","Work related to electricity ","197,341.78","Electrification","","",""
"8D","19-20","10","Work related to electricity ","197,157.72","Electrification","","",""
"8D","19-20","11","Computers for municipal schools ","200,000.00","Computers","","",""
"9A","19-20","1","Providng cotton bags ","200,000.00","Bags","","",""
"9A","19-20","2","New busstop work","200,000.00","BusStop","","",""
"9A","19-20","3","Providing benches ","173,006.00","Benches","","",""
"9A","19-20","4","Spreading Murum stone ","151,940.00","Road","","",""
"9B","19-20","1","Providing Pushtrollys (Dhakalgade)","192,010.00","Waste disposal","Resolved","Assumption, is for waste disposal",""
"9B","19-20","2","Providing Pushtrollys (Dhakalgade)","192,010.00","Waste disposal","Resolved","Assumption, is for waste disposal",""
"9B","19-20","3","Decoration and wall painting","139,611.54","Decoration","","",""
"9B","19-20","4","Installing Signboards/nameboards ","188,394.02","Nameplates","","",""
"9B","19-20","5","Radaroda work","197,455.00","Cleaning","","",""
"9B","19-20","6","Work related electricity ","115,384.70","Electrification","","",""
"9B","19-20","7","Providing cottion bags ","100,000.00","Bags","","",""
"9B","19-20","8","Providing cottion bags ","200,000.00","Bags","","",""
"9B","19-20","9","Providing benches ","110,989.58","Benches","","",""
"9C","19-20","1","Providing benches ","200,000.00","Benches","","",""
"9C","19-20","2","Providing benches ","200,000.00","Benches","","",""
"9C","19-20","3","Installing open gym ","200,000.00","Gym","","",""
"9C","19-20","4","Buckets for waste segregation to citizens","200,000.00","Dustbin/Buckets","","",""
"9C","19-20","5","Providing Jute bags ","200,000.00","Bags","","",""
"9C","19-20","6","Providing Jute bags ","200,000.00","Bags","","",""
"9C","19-20","7","Cleaning drainage line ","197,260.26","Drainage","","",""
"9C","19-20","8","Concretization of lane","197,682.88","Concretization","","",""
"9C","19-20","9","Concretization of lane","197,187.87","Concretization","","",""
"9D","19-20","1","Providing benches ","200,000.00","Benches","","",""
"9D","19-20","2","Providing benches ","200,000.00","Benches","","",""
"9D","19-20","3","Installing name/signboards ","196,414.40","Nameplates","","",""
"9D","19-20","4","Pavement block work","127,060.52","Pavement blocks","","",""
"9D","19-20","5","Installing name/signboards ","148,012.28","Nameplates","","",""
"9D","19-20","6","Colouring work  for Hall in Bhaji Mandai ","183,768.43","Colouring","","",""
"9D","19-20","7","Colouring work of  Crematorium, crematory, and swimming pool ","199,911.04","Colouring","Resolved","Confused about which code to use? Colouring or Crematorium? ",""
"9D","19-20","8","Work related to electrification ","197,083.43","Electrification","","",""
"8A","20-21","1","Distribution of cotton masks ","100,000.00","Help / Fund / Relief Work","","",""
"8A","20-21","2","Providing Jute bags ","200,000.00","Bags","","",""
"8A","20-21","3","Installing gate infront of school","167,056.79","Fencing","","",""
"8A","20-21","4","Work related to cemetory","168,724.70","Buildings","","",""
