"BHAVANI PETH","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"19C","18-19","4","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19C","18-19","5","Chamber cleaning","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","18-19","6","Garbage Pick up","200,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"19C","18-19","7","Clearing and cleaning of chambers","196,887.29","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19C","18-19","8","Footpath related works","196,794.61","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","1","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","2","Cloth bags distribution","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","3","Drainage related works","198,734.41","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","4","Drainage line laying","197,541.56","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","5","Chamber repairs","196,602.42","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","6","Drainage line clearing and chamber repairs","170,522.89","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","7","Drainage related works","198,780.68","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","8","Toilet repairs","198,326.93","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","9","Cat's eye installation","99,575.21","Traffic","No Issue","","","","","","","","","","","","","","","","","",""
"19D","18-19","10","Developmental works at Urdu Study Hall","189,209.20","Library","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","1","Chamber cleaning and repairs","198,081.85","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","2","Chamber repairs","186,385.11","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","3","Footpath repairs","189,997.80","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","4","Drainage line cleaning","197,997.51","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","5","Concretization","196,732.48","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"17A","19-20","6","Chamber repairs","186,122.79","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
