"Ward Office Name","Prabhag Name","Prabhag No.","Place","Corporator Name","Gender","Party","Criminal_Records (Yes/No)","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Mohammadwadi - Kausar Baug","26","B","Bhangire Pramod alias Nana Vasant","M","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Mohammadwadi - Kausar Baug","26","C","Lonkar Nanda Narayan","F","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Mohammadwadi - Kausar Baug","26","D","Sanjay (Tatya) Gulab Ghule","M","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Kondhwa Khurd - Meetha Nagar","27","A","Adv. Haji Gafur Pathan","M","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Kondhwa Khurd - Meetha Nagar","27","B","Parveen Haji Firoz","F","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Kondhwa Khurd - Meetha Nagar","27","C","Hamida Anis Sundake","F","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Kondhwa Khurd - Meetha Nagar","27","D","Babar Sainath Sambhaji","M","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Salisbury Park - Maharshi Nagar","28","A","Kavita Bharat Vairage","F","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Salisbury Park - Maharshi Nagar","28","B","Shrinath Yashwant Bhimale","M","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Salisbury Park - Maharshi Nagar","28","C","Rajashri Avinash Shilimkar","F","","","","","","","","","","","","","","","","","","","",""
"Bibwewadi Ward Office","Salisbury Park - Maharshi Nagar","28","D","Pravin Manikchand Chorbole","M","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Navi Peth- Parvati","29","A","Sarswati Shendge","F","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Navi Peth- Parvati","29","B","Smita Vaste","F","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Navi Peth- Parvati","29","C","Dheeraj Ramchandra Ghate","M","","","","","","","","","","","","","","","","","","","",""
