"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"39D","20-21","4","Drainage repairing work","199,727.36","Drainage","No Issue","",""
"39D","20-21","5","Virangula kendra for old people","199,897.60","Buildings","No Issue","",""
"39D","20-21","6","Fencing related work","199,899.39","Fencing","No Issue","",""
"39D","20-21","7","Virangula kendra related work","199,473.90","Buildings","No Issue","",""
"39D","20-21","8","Vehicles related work","199,891.97","Traffic","No Issue","",""
"39D","20-21","9","Virangula kendra related work","199,878.57","Buildings","No Issue","",""
"40A","20-21","1","Benches related work","199,765.61","Benches","No Issue","",""
"40A","20-21","2","Drainage related work","199,676.33","Drainage","No Issue","",""
"40A","20-21","3","Electricity related work","197,836.53","Electrification","No Issue","",""
"40A","20-21","4","Distribution of masks","200,000.00","Help / Fund / Relief Work","No Issue","",""
"40A","20-21","5","Distribution of sanitizer and stands","199,498.32","Help / Fund / Relief Work","No Issue","",""
"40A","20-21","6","Distribution of black funnel","199,980.00","Help / Fund / Relief Work","No Issue","",""
"40A","20-21","7","Distribution of scented funnel","199,050.00","Help / Fund / Relief Work","No Issue","",""
"40A","20-21","8","Constructing tree surrounding barriers","195,458.63","Development work","No Issue","",""
"40A","20-21","9","Distribution of soaps","200,000.00","Help / Fund / Relief Work","No Issue","",""
"40B","20-21","1","Drainage cleaning machine work","195,005.76","Drainage","No Issue","",""
"40B","20-21","2","Drainage cleaning machine work","197,291.00","Drainage","No Issue","",""
"40B","20-21","3","Adding thermoplastic paint at some places","199,439.52","Colouring","No Issue","",""
"40B","20-21","4","Drainage related work","199,636.94","Drainage","No Issue","",""
"40B","20-21","5","Nameplates installation","197,040.82","Nameplates","No Issue","",""
"40B","20-21","6","Drainage repairing related work","199,650.08","Drainage","No Issue","",""
"40B","20-21","7","Picking up radar waste","199,102.53","Waste disposal","No Issue","",""
"40B","20-21","8","Light pole points related work","195,251.68","Electrification","No Issue","",""
"40B","20-21","9","Electricity related work","195,610.97","Electrification","No Issue","",""
